n,n_senses,chance,purity_k1,excess_k1,purity_k5,excess_k5,purity_k10,excess_k10,purity_k20,excess_k20,purity_k50,excess_k50,step,layer,word,pos,within,between,gap
800,4,0.2490613266583229,0.56375,0.4190604166666666,0.50875,0.34581875,0.482625,0.3110289583333334,0.444375,0.26009270833333337,0.381775,0.176730375,0,1,function,n,0.05944300442934036,0.010516134090721607,0.04892687126994133
400,2,0.49874686716791977,0.7275,0.45636250000000017,0.6995,0.4005025000000001,0.67325,0.34813375000000013,0.6385,0.2788075,0.5678,0.137761,0,1,function,v,0.037977032363414764,0.017140772193670273,0.02083626016974449
1200,6,0.16597164303586323,0.3441666666666667,0.21365583333333332,0.3125,0.17568749999999997,0.29108333333333336,0.1500089166666667,0.276625,0.13267337499999998,0.25765,0.10992234999999997,0,1,get,v,0.07387490570545197,0.037041984498500824,0.03683292120695114
400,2,0.49874686716791977,0.58,0.1621,0.5855,0.1730725000000001,0.58325,0.16858375000000014,0.582125,0.16633937500000007,0.5847,0.17147650000000006,0,1,good,a,0.04460202902555466,0.004251969046890736,0.040350060909986496
800,4,0.2490613266583229,0.61,0.48064999999999997,0.5495,0.40008416666666663,0.5255,0.3681241666666666,0.5038125,0.33924364583333333,0.480925,0.30876512500000003,0,1,good,n,0.3555167317390442,-0.09463989734649658,0.45015662908554077
400,2,0.49874686716791977,0.6525,0.3067375,0.6385,0.2788075,0.60575,0.21347125000000008,0.586875,0.17581562500000014,0.5471,0.09646450000000012,0,1,group,n,0.012866861186921597,-0.0017339230980724096,0.01460078451782465
400,2,0.49874686716791977,0.7075,0.4164625000000001,0.6695,0.3406525,0.65275,0.30723625000000016,0.6345,0.2708275,0.5984,0.19880800000000015,0,1,here,r,0.0835910513997078,-0.007772281765937805,0.0913633331656456
600,3,0.332220367278798,0.445,0.1688875,0.44366666666666665,0.16689083333333332,0.4395,0.16065125,0.438,0.158405,0.4272666666666667,0.14233183333333335,0,1,high,a,0.07939688861370087,-0.009743434377014637,0.08914032578468323
400,2,0.49874686716791977,0.58,0.1621,0.5435,0.08928250000000003,0.53625,0.07481875000000007,0.52275,0.04788625000000015,0.5079,0.018260500000000093,0,1,high,r,0.004532710183411837,0.0034894871059805155,0.0010432230774313211
400,2,0.49874686716791977,0.7675,0.5361625,0.761,0.5231950000000001,0.76,0.5212000000000001,0.738125,0.4775593750000001,0.6861,0.37376950000000014,0,1,however,r,0.18963822722434998,-0.16618973016738892,0.3558279573917389
