sense,n_sense,peripherality,dispersion,step,layer,word,pos
about.r.07,200,0.07684612274169922,0.9715883135795593,0,1,about,r
approximately.r.01,200,0.07684613019227982,1.0218638181686401,0,1,about,r
ahead.r.01,200,0.4633408188819885,1.0792195796966553,0,1,before,r
earlier.r.01,200,0.4633408188819885,0.6371152400970459,0,1,before,r
being.n.01,200,0.4152279496192932,0.7400817275047302,0,1,being,n
organism.n.01,200,0.4152279198169708,1.0523546934127808,0,1,being,n
case.n.01,200,0.516910970211029,1.142445683479309,0,1,case,n
case.n.04,200,0.43315908312797546,0.6370812058448792,0,1,case,n
case.n.05,200,0.11461580544710159,0.9594658613204956,0,1,case,n
case.n.06,200,0.43775245547294617,1.048910140991211,0,1,case,n
case.n.09,200,0.2572900950908661,0.9467048048973083,0,1,case,n
lawsuit.n.01,200,0.10814064741134644,0.9176243543624878,0,1,case,n
shell.n.08,200,0.23473858833312988,0.7969887852668762,0,1,case,n
subject.n.06,200,0.12975303828716278,1.0417602062225342,0,1,case,n
cell.n.01,200,0.11410940438508987,0.9987068176269531,0,1,cell,n
cell.n.02,200,0.3683088719844818,1.046071171760559,0,1,cell,n
cell.n.03,200,0.46903979778289795,0.9585456848144531,0,1,cell,n
cell.n.07,200,0.26273390650749207,0.8330471515655518,0,1,cell,n
cellular_telephone.n.01,200,0.4906603991985321,0.7855538129806519,0,1,cell,n
class.n.01,200,0.1411033421754837,0.9880732893943787,0,1,class,n
class.n.02,200,0.06574564427137375,1.0133601427078247,0,1,class,n
class.n.03,200,0.22134588658809662,0.7703946828842163,0,1,class,n
class.n.06,200,0.2624107599258423,0.831264317035675,0,1,class,n
course.n.01,200,0.5210151672363281,1.1396321058273315,0,1,class,n
code.n.01,200,0.09497945010662079,1.0411452054977417,0,1,code,n
code.n.02,200,0.2138252705335617,1.0620288848876953,0,1,code,n
code.n.03,200,0.27695077657699585,0.8103500604629517,0,1,code,n
control.n.01,200,0.2800616919994354,0.7394333481788635,0,1,control,n
control.n.02,200,0.38735222816467285,1.1478902101516724,0,1,control,n
control.n.03,200,0.2607838809490204,0.8190558552742004,0,1,control,n
control.n.05,200,0.2593470811843872,0.7989684343338013,0,1,control,n
control.n.09,200,0.10237341374158859,1.0210779905319214,0,1,control,n
control_condition.n.01,200,0.3490062355995178,1.134791612625122,0,1,control,n
