sense,n_sense,n_lemma,chance,purity_k5,excess_k5,purity_k10,excess_k10,purity_k20,excess_k20,purity_k50,excess_k50,step,layer,word,pos,n,n_conf,share,log_share
cell.n.01,200,1000,0.1991991991991992,0.351,0.18956125,0.3255,0.15771812500000001,0.28475,0.1068315625,0.2571,0.072303625,0,1,cell,n,10177,8598,0.1057262772964325,-0.9758170593667652
cell.n.02,200,1000,0.1991991991991992,0.33,0.16333750000000002,0.335,0.16958125000000002,0.32375,0.15553281249999998,0.295,0.11963124999999998,0,1,cell,n,83424,81738,0.8666708221654305,-0.06214582439593363
cell.n.03,200,1000,0.1991991991991992,0.572,0.465535,0.5205,0.40122437499999997,0.462,0.32817250000000003,0.4002,0.25099975,0,1,cell,n,829,514,0.0086122711878493,-2.064882303333896
cell.n.07,200,1000,0.1991991991991992,0.492,0.365635,0.4295,0.28758812500000003,0.37225,0.21609718750000004,0.3386,0.17407675000000003,0,1,cell,n,563,491,0.0058488645099628,-2.232928439032823
cellular_telephone.n.01,200,1000,0.1991991991991992,0.462,0.32817250000000003,0.4025,0.253871875,0.3635,0.205170625,0.3144,0.143857,0,1,cell,n,1200,1158,0.0124664962912173,-1.9042555878365455
class.n.01,200,1000,0.1991991991991992,0.513,0.39185875000000003,0.475,0.34440624999999997,0.44125,0.3022609375,0.392,0.24076000000000003,0,1,class,n,51961,47290,0.6775371295197611,-0.1690669001528849
class.n.02,200,1000,0.1991991991991992,0.178,-0.02647250000000002,0.171,-0.035213749999999995,0.162,-0.04645250000000001,0.1515,-0.05956437500000002,0,1,class,n,7578,4270,0.0988121161544379,-1.0051897997808523
class.n.03,200,1000,0.1991991991991992,0.398,0.24825250000000004,0.3925,0.24138437500000004,0.3865,0.23389187500000003,0.3661,0.208417375,0,1,class,n,6923,4921,0.0902713486589039,-1.0444500691083904
class.n.06,200,1000,0.1991991991991992,0.47,0.3381625,0.4165,0.271354375,0.36975,0.21297531250000004,0.3271,0.15971612500000001,0,1,class,n,775,439,0.0101054882580746,-1.9954426982135167
course.n.01,200,1000,0.1991991991991992,0.22,0.025974999999999995,0.2285,0.03658937500000001,0.25275,0.06687156249999997,0.3048,0.13186900000000001,0,1,class,n,8389,6427,0.1093870206412747,-0.9610342063232639
code.n.01,200,600,0.332220367278798,0.455,0.1838625,0.4435,0.16664125,0.41775,0.128080625,0.4152,0.12426200000000001,0,1,code,n,4077,3276,0.0484716624460534,-1.3145120849034808
code.n.02,200,600,0.332220367278798,0.425,0.13893749999999996,0.407,0.11198249999999996,0.397,0.09700750000000002,0.3662,0.050884500000000034,0,1,code,n,16405,11259,0.195039887767355,-0.7098765616335708
code.n.03,200,600,0.332220367278798,0.69,0.5357749999999999,0.676,0.5148100000000001,0.6415,0.4631462499999999,0.5616,0.34349599999999997,0,1,code,n,63629,59816,0.7564884497865916,-0.12119769848315007
control.n.01,200,1200,0.16597164303586323,0.359,0.23144099999999995,0.335,0.202665,0.2965,0.15650349999999996,0.2668,0.12089319999999996,0,1,control,n,10753,1161,0.1146631975175679,-0.9405759515821609
control.n.02,200,1200,0.16597164303586323,0.35,0.22064999999999996,0.329,0.195471,0.3025,0.16369749999999997,0.2646,0.11825539999999998,0,1,control,n,19934,2448,0.2125635803324838,-0.6725111434606609
control.n.03,200,1200,0.16597164303586323,0.277,0.13312300000000002,0.245,0.09475499999999998,0.2255,0.0713745,0.2147,0.058425299999999986,0,1,control,n,6805,2611,0.0725642201345717,-1.13927746784623
control.n.05,200,1200,0.16597164303586323,0.362,0.23503799999999997,0.329,0.195471,0.304,0.16549599999999998,0.2514,0.1024286,0,1,control,n,6309,990,0.0672751895413685,-1.1721450699796003
control.n.09,200,1200,0.16597164303586323,0.387,0.265013,0.343,0.212257,0.3055,0.16729449999999998,0.2754,0.13120459999999995,0,1,control,n,16281,9300,0.1736102965482677,-0.7604245210864451
control_condition.n.01,200,1200,0.16597164303586323,0.421,0.3057789999999999,0.405,0.286595,0.381,0.25781899999999996,0.3347,0.20230529999999997,0,1,control,n,32452,30762,0.3460476226020751,-0.4608641300797684
control.v.01,200,800,0.2490613266583229,0.287,0.050521666666666645,0.2865,0.049855833333333315,0.2855,0.048524166666666646,0.2951,0.06130816666666664,0,1,control,v,13742,8186,0.2167405327823604,-0.6640598634027322
control.v.02,200,800,0.2490613266583229,0.338,0.1184366666666667,0.322,0.09713000000000002,0.2955,0.061840833333333324,0.277,0.037205000000000044,0,1,control,v,33561,19303,0.529328265224043,-0.2762749148069897
control.v.05,200,800,0.2490613266583229,0.614,0.4859766666666666,0.5915,0.45601416666666666,0.5445,0.3934258333333333,0.4827,0.31112883333333335,0,1,control,v,5971,2460,0.0941753544784947,-1.026062736425842
operate.v.03,200,800,0.2490613266583229,0.423,0.23162833333333332,0.383,0.1783616666666667,0.34725,0.13075458333333334,0.3211,0.0959315,0,1,control,v,9418,4605,0.1485418671040802,-0.8281511215009182
court.n.01,200,600,0.332220367278798,0.673,0.5103175000000001,0.6605,0.49159875,0.61575,0.424585625,0.5118,0.26892050000000006,0,1,court,n,94613,89585,0.9668792282379872,-0.01462776974889248
court.n.02,200,600,0.332220367278798,0.705,0.5582374999999999,0.6785,0.51855375,0.63375,0.45154062500000003,0.5779,0.36790524999999996,0,1,court,n,1448,596,0.0147975555419298,-1.829810021249107
court.n.04,200,600,0.332220367278798,0.589,0.38452749999999997,0.5605,0.34184875,0.5325,0.29991874999999996,0.5109,0.26757275,0,1,court,n,818,751,0.0083593925644327,-2.077825279438913
day.n.01,200,1000,0.1991991991991992,0.479,0.34940125,0.45,0.3131875,0.4195,0.275100625,0.4009,0.25187387499999997,0,1,day,n,65965,53275,0.6885340013569229,-0.16207460843962276
day.n.02,200,1000,0.1991991991991992,0.381,0.22702375000000002,0.339,0.17457625000000004,0.29575,0.12056781250000001,0.2612,0.07742349999999998,0,1,day,n,15854,8736,0.1654819685820155,-0.7812493213562858
day.n.03,200,1000,0.1991991991991992,0.354,0.1933075,0.349,0.18706374999999997,0.3535,0.19268312499999998,0.2986,0.12412674999999997,0,1,day,n,5969,2948,0.0623036375972026,-1.2054865963219923
day.n.04,200,1000,0.1991991991991992,0.309,0.13711375,0.2935,0.11775812499999998,0.27975,0.1005878125,0.267,0.08466625000000001,0,1,day,n,5174,2476,0.0540055320703512,-1.2675617508331418
day.n.05,200,1000,0.1991991991991992,0.405,0.25699375,0.377,0.22202875000000002,0.358,0.1983025,0.3276,0.1603405,0,1,day,n,2544,583,0.0265539376859245,-1.5758710682372905
different.a.01,200,400,0.49874686716791977,0.712,0.42544,0.6875,0.3765625000000001,0.668,0.3376600000000001,0.6125,0.22693750000000015,0,1,different,a,61575,1491,0.6355735386711533,-0.1968341924091617
different.s.02,200,400,0.49874686716791977,0.654,0.3097300000000001,0.66,0.32170000000000015,0.64425,0.29027875000000003,0.5777,0.15751150000000005,0,1,different,a,34977,1703,0.3610305426244568,-0.4424560558999631
